Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Geo_Location,Region,Collection_Date
KT187562.1,dengue virus type I,"Zhan,L., Xiao,X., Liu,S., Yu,D., Zhu,Z., Luo,K., Zhou,D., Luo,X., Zeng,W., Liao,Y., Zhong,Y., Li,M., Zhu,X., He,Z., Wu,J., Wen,W., Hu,Y., Chen,J., Yu,J., An,S., Lin,C., Dong,X., Zheng,D., Li,J., Yuan,J., Cai,J., Cao,K., Xu,L., Zhang,D., Chen,S.","Key Laboratory of Tropical Disease Control, Ministry of Education, Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University",China,25/11/2015,DENV1/CN/GZDF982/2014,Orthoflavivirus denguei,10714,China: Guangdong,Guangdong,2014
KT187563.1,dengue virus type I,"Li,M., Zhu,X., He,Z., Wu,J., Wen,W., Hu,Y., Chen,J., Yu,J., An,S., Lin,C., Dong,X., Zheng,D., Li,J., Yuan,J., Cai,J., Cao,K., Xu,L., Zhang,D., Zhan,L., Xiao,X., Liu,S., Yu,D., Zhu,Z., Luo,K., Zhou,D., Luo,X., Zeng,W., Liao,Y., Zhong,Y., Chen,S.","Key Laboratory of Tropical Disease Control, Ministry of Education, Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University",China,25/11/2015,DENV1/CN/GZDF696/2014,Orthoflavivirus denguei,10714,China: Guangdong,Guangdong,2014
KT187564.1,dengue virus type I,"Li,M., He,Z., Zhu,X., Wu,J., Wen,W., Hu,Y., Chen,J., Yu,J., An,S., Lin,C., Dong,X., Zheng,D., Li,J., Yuan,J., Cai,J., Cao,K., Xu,L., Zhang,D., Zhan,L., Xiao,X., Liu,S., Yu,D., Zhu,Z., Luo,K., Zhou,D., Luo,X., Zeng,W., Liao,Y., Zhong,Y., Chen,S.","Key Laboratory of Tropical Disease Control, Ministry of Education, Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University",China,25/11/2015,DENV1/CN/GZDF716/2014,Orthoflavivirus denguei,10735,China: Guangdong,Guangdong,2014
KR919613.1,dengue virus type I,"Yang,L., Chen,Y., Zhang,P., Yan,H., Ren,R.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,03/11/2015,GZ2014013,Orthoflavivirus denguei,1470,China,Guangdong,2014
KR919614.1,dengue virus type I,"Yang,L., Chen,Y., Zhang,P., Yan,H., Ren,R.","Center for Disease Control and Prevention, Guangzhou Military Command, Disease Control and Prevention Department",China,03/11/2015,GZ2014014,Orthoflavivirus denguei,1470,China,Guangdong,2014
KP191493.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14001,Orthoflavivirus denguei,1560,China,Guangdong,2014-09
KP191494.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14002,Orthoflavivirus denguei,1559,China,Guangdong,2014-09
KP191495.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14017,Orthoflavivirus denguei,1510,China,Guangdong,2014-09
KP191496.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14019,Orthoflavivirus denguei,1512,China,Guangdong,2014-09
KP191497.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14023,Orthoflavivirus denguei,1509,China,Guangdong,2014-09
KP191498.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14025,Orthoflavivirus denguei,1521,China,Guangdong,2014-09
KP191499.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14032,Orthoflavivirus denguei,1342,China,Guangdong,2014-09
KP191500.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14033,Orthoflavivirus denguei,1515,China,Guangdong,2014-09
KP191501.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14055,Orthoflavivirus denguei,1559,China,Guangdong,2014-09
KP191502.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14067,Orthoflavivirus denguei,1520,China,Guangdong,2014-09
KP191503.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14088,Orthoflavivirus denguei,1491,China,Guangdong,2014-09
KP191504.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14098,Orthoflavivirus denguei,1491,China,Guangdong,2014-09
KP191505.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14100,Orthoflavivirus denguei,1506,China,Guangdong,2014-09
KP191506.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14101,Orthoflavivirus denguei,1508,China,Guangdong,2014-09
KP191507.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14116,Orthoflavivirus denguei,1507,China,Guangdong,2014-09
KP191508.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14122,Orthoflavivirus denguei,1506,China,Guangdong,2014-09
KP191509.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14125,Orthoflavivirus denguei,1496,China,Guangdong,2014-09
KP191510.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14151,Orthoflavivirus denguei,1501,China,Guangdong,2014-09
KP191511.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14156,Orthoflavivirus denguei,1508,China,Guangdong,2014-09
KP191512.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14164,Orthoflavivirus denguei,1496,China,Guangdong,2014-09
KP191513.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14173,Orthoflavivirus denguei,1501,China,Guangdong,2014-09
KP191514.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14175,Orthoflavivirus denguei,1507,China,Guangdong,2014-09
KP191515.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14181,Orthoflavivirus denguei,1507,China,Guangdong,2014-09
KP191516.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14185,Orthoflavivirus denguei,1497,China,Guangdong,2014-09
KP191517.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14194,Orthoflavivirus denguei,1503,China,Guangdong,2014-09
KP191518.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14208,Orthoflavivirus denguei,1489,China,Guangdong,2014-09
KP191519.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14211,Orthoflavivirus denguei,1489,China,Guangdong,2014-09
KP191520.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14222,Orthoflavivirus denguei,1504,China,Guangdong,2014-09
KP191521.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14234,Orthoflavivirus denguei,1518,China,Guangdong,2014-09
KP191522.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14243,Orthoflavivirus denguei,1515,China,Guangdong,2014-09
KP191523.1,dengue virus type I,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14249,Orthoflavivirus denguei,1517,China,Guangdong,2014-09
KP191524.1,Dengue virus type 2,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14003,Orthoflavivirus denguei,1589,China,Guangdong,2014-09
KP191525.1,Dengue virus type 2,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14005,Orthoflavivirus denguei,1584,China,Guangdong,2014-09
KP191526.1,Dengue virus type 2,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14070,Orthoflavivirus denguei,1590,China,Guangdong,2014-09
KP191527.1,Dengue virus type 2,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14115,Orthoflavivirus denguei,1588,China,Guangdong,2014-09
KP191528.1,Dengue virus type 2,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14118,Orthoflavivirus denguei,1582,China,Guangdong,2014-09
KP191529.1,Dengue virus type 2,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14246,Orthoflavivirus denguei,1580,China,Guangdong,2014-09
KP191530.1,Dengue virus type 2,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14283,Orthoflavivirus denguei,1572,China,Guangdong,2014-09
KP191531.1,Dengue virus type 3,"Wu,D., Zhang,H., Zhou,H., Li,H.","Guangdong Center for Disease Control and Prevention, Institution of Pathogen Microbiology",China,31/10/2015,D14014,Orthoflavivirus denguei,1662,China,Guangdong,2014-09
KR347358.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-045,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347359.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-046,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347360.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-047,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347361.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-048,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347362.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-049,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347363.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-050,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347364.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-051,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347365.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-054,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347366.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-055,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347367.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-058,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347368.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-059,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347369.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-060,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347370.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-062,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347371.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-066,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347372.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-067,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347373.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-068,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347374.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-069,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347375.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-070,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347376.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-071,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347377.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-072,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347378.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-073,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347379.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-074,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347380.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-076,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347381.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-077,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347382.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-080,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347383.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-082,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347384.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-083,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347385.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-084,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347386.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-086,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347387.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-087,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347388.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-088,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347389.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-089,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347390.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-091,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347391.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-092,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347392.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-093,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347393.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-094,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347394.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-095,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347395.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-096,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347396.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-097,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347397.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-098,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347398.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-099,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347399.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-100,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347400.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-101,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347401.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-102,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347402.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-104,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347403.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-106,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347404.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-107,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347405.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-108,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347406.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-111,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347407.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-112,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347408.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-113,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347409.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-114,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347410.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-116,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347411.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-118,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347412.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-119,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347413.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-120,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347414.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-123,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347415.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-124,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347416.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-125,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347417.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-126,Orthoflavivirus denguei,1479,China,Yunnan,2013
KR347418.1,Dengue virus 3,"Xia,X., Wang,B., Yang,H., Feng,Y., Zhou,H., Dai,J., Hu,Y.","Kunming University of Science and Technology, Faculty of Life Science and Technology",China,12/10/2015,D3-127,Orthoflavivirus denguei,1479,China,Yunnan,2013
